"Model","PART","MATERIAL","ID NUMBER","BIN NUMBER","CUT LENGTH","CRC","ADDITIONAL STEPS","STEPS","EXTRA"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",36.25,1,22.0,"1.75,2,4.875,2,8,6,11.125,6,14.25,2,17.375,2,20.5,6,23.625,6,26.75,2,29.875,2,33,6,1.75,4,4.875,4,8,8,11.125,8,14.25,4,17.375,4,20.5,8,23.625,8,26.75,4,29.875,4,33,8","[198191.0, 43739.0, 43747.0, 'Cable - Alum - 39 A - Surface Mount & Universal Top', 8.0, '1u61koL930', 'Cable', 'A', 'Surface Mount', 'Universal Top', '', 8.0, '', 39.0, 'PC: Black', 132049.0]"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",36.25,1,22.0,"1.75,2,4.875,2,8,6,11.125,6,14.25,2,17.375,2,20.5,6,23.625,6,26.75,2,29.875,2,33,6,1.75,4,4.875,4,8,8,11.125,8,14.25,4,17.375,4,20.5,8,23.625,8,26.75,4,29.875,4,33,8","[198191.0, 43739.0, 43747.0, 'Cable - Alum - 39 A - Surface Mount & Universal Top', 10.0, 'vrsq4e9xsm', 'Cable', 'A', 'Surface Mount', 'Universal Top', '', 8.0, '', 39.0, 'PC: Black', 132049.0]"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",36.25,1,22.0,"1.75,2,4.875,2,8,6,11.125,6,14.25,2,17.375,2,20.5,6,23.625,6,26.75,2,29.875,2,33,6,1.75,4,4.875,4,8,8,11.125,8,14.25,4,17.375,4,20.5,8,23.625,8,26.75,4,29.875,4,33,8","[198191.0, 43739.0, 43747.0, 'Cable - Alum - 39 A - Surface Mount & Universal Top', 11.0, 'i7au8u7aqL', 'Cable', 'A', 'Surface Mount', 'Universal Top', '', 8.0, '', 39.0, 'PC: Black', 132049.0]"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",36.25,1,22.0,"1.75,2,4.875,2,8,6,11.125,6,14.25,2,17.375,2,20.5,6,23.625,6,26.75,2,29.875,2,33,6,1.75,4,4.875,4,8,8,11.125,8,14.25,4,17.375,4,20.5,8,23.625,8,26.75,4,29.875,4,33,8","[198191.0, 43739.0, 43747.0, 'Cable - Alum - 39 A - Surface Mount & Universal Top', 15.0, 'w2hqzqt78o', 'Cable', 'A', 'Surface Mount', 'Universal Top', '', 8.0, '', 39.0, 'PC: Black', 132049.0]"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",36.25,1,22.0,"1.75,2,4.875,2,8,6,11.125,6,14.25,2,17.375,2,20.5,6,23.625,6,26.75,2,29.875,2,33,6,1.75,4,4.875,4,8,8,11.125,8,14.25,4,17.375,4,20.5,8,23.625,8,26.75,4,29.875,4,33,8","[198191.0, 43739.0, 43747.0, 'Cable - Alum - 39 A - Surface Mount & Universal Top', 16.0, 'v4uiodv5m2', 'Cable', 'A', 'Surface Mount', 'Universal Top', '', 8.0, '', 39.0, 'PC: Black', 132049.0]"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",36.25,1,22.0,"1.75,2,4.875,2,8,6,11.125,6,14.25,2,17.375,2,20.5,6,23.625,6,26.75,2,29.875,2,33,6,1.75,4,4.875,4,8,8,11.125,8,14.25,4,17.375,4,20.5,8,23.625,8,26.75,4,29.875,4,33,8","[198191.0, 43739.0, 43747.0, 'Cable - Alum - 39 A - Surface Mount & Universal Top', 29.0, '3vbwnhr0dp', 'Cable', 'A', 'Surface Mount', 'Universal Top', '', 8.0, '', 39.0, 'PC: Black', 132049.0]"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",36.25,1,22.0,"1.75,2,4.875,2,8,6,11.125,6,14.25,2,17.375,2,20.5,6,23.625,6,26.75,2,29.875,2,33,6,1.75,4,4.875,4,8,8,11.125,8,14.25,4,17.375,4,20.5,8,23.625,8,26.75,4,29.875,4,33,8","[198191.0, 43739.0, 43747.0, 'Cable - Alum - 39 C Left - Surface Mount & Universal Top', 2.0, '5bvtggg1h0', 'Cable', 'C Left', 'Surface Mount', 'Universal Top', '', 4.0, '', 39.0, 'PC: Black', 132065.0]"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",36.25,1,22.0,"1.75,2,4.875,2,8,6,11.125,6,14.25,2,17.375,2,20.5,6,23.625,6,26.75,2,29.875,2,33,6,1.75,4,4.875,4,8,8,11.125,8,14.25,4,17.375,4,20.5,8,23.625,8,26.75,4,29.875,4,33,8","[198191.0, 43739.0, 43747.0, 'Cable - Alum - 39 C Left - Surface Mount & Universal Top', 18.0, 'xsLg9xgsk9', 'Cable', 'C Left', 'Surface Mount', 'Universal Top', '', 4.0, '', 39.0, 'PC: Black', 132065.0]"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",36.25,1,22.0,"1.75,2,4.875,2,8,6,11.125,6,14.25,2,17.375,2,20.5,6,23.625,6,26.75,2,29.875,2,33,6,1.75,4,4.875,4,8,8,11.125,8,14.25,4,17.375,4,20.5,8,23.625,8,26.75,4,29.875,4,33,8","[198191.0, 43739.0, 43747.0, 'Cable - Alum - 39 C Left - Surface Mount & Universal Top', 24.0, '8ka2L63o69', 'Cable', 'C Left', 'Surface Mount', 'Universal Top', '', 4.0, '', 39.0, 'PC: Black', 132065.0]"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",36.25,1,22.0,"1.75,2,4.875,2,8,6,11.125,6,14.25,2,17.375,2,20.5,6,23.625,6,26.75,2,29.875,2,33,6,1.75,4,4.875,4,8,8,11.125,8,14.25,4,17.375,4,20.5,8,23.625,8,26.75,4,29.875,4,33,8","[198191.0, 43739.0, 43747.0, 'Cable - Alum - 39 C Left - Surface Mount & Universal Top', 28.0, '1r7po88a73', 'Cable', 'C Left', 'Surface Mount', 'Universal Top', '', 4.0, '', 39.0, 'PC: Black', 132065.0]"
